#objID z mass rpetro ra dec res mrs sens_10kms year muid proj name K03 K01 WISE LERG
587727220859011175 0.029296 10.5502 6.09301 318.99043808 9.54310419 2.609668102752125 23.425061366972628 0.9833258419174477 2017 uid://A001/X1288/Xeb9 2017.1.01093.S 7815-12705 0 0 0 0
587727220865040712 0.027062 10.3625 3.40334 332.79873079 11.800747 2.4558373421432367 26.450734489130237 0.7654214394680967 2015 uid://A001/X2fa/X53 2015.1.01225.S manga_7977-3704 0 0 0 0
587727221396013696 0.043026 10.2544 3.56806 319.27145783 9.97231023 2.567302755309023 25.287311791865168 0.5999375421492316 2018 uid://A001/X133d/Xf4d 2018.1.00558.S 8618-9102 0 0 0 0
587727221402042402 0.027587 10.0418 4.25271 333.05203457 12.20518369 1.7069603917374765 19.58885364909216 0.5681624591241158 2018 uid://A001/X133d/Xe6b 2018.1.00541.S 587727221402042402_7977-3703 0 0 0 0
587727942952550837 0.069942 10.0358 2.13343 132.59045641 1.08402337 2.391828560753308 22.821008972815754 2.0547392143005605 2013 uid://A001/X147/X2ce 2013.1.00058.S HATLAS_J085021.6+010503 0 0 0 0
587727942952681722 0.026687 9.94799 2.92674 132.80361802 1.06189984 2.351459756219064 23.15020931519194 3.224379352603969 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.235 0 0 0 0
587727943489552760 0.059454 10.9855 4.13729 132.7975695 1.50169491 2.478353572524667 25.588358422967765 2.5138055743570002 2013 uid://A001/X147/X2e5 2013.1.00530.S HOT2_EI_CII_G09.v2.60 1 0 0 0
587727943490273729 0.070895 10.5351 1.69034 134.47149881 1.3922359 2.39805445354583 23.119753678275796 2.054743647806256 2013 uid://A001/X147/X2ce 2013.1.00058.S HATLAS_J085753.1+012332 1 0 0 0
587727943490601114 0.05221 11.0416 7.75821 135.15833847 1.4699678 1.5766298693162375 15.717916085916515 1.2713975522547654 2016 uid://A001/X87d/Xbd1 2016.1.00329.S 6J090038.0+012810 0 0 0 0
587727943490797666 0.11599 10.6882 1.25483 135.66137 1.54800239 1.6612501051783026 14.373724485794785 0.9800697896098535 2016 uid://A001/X8a6/X4f 2016.1.00329.S 13J090238.7+013253 0 0 0 0
587727943490797816 0.115525 10.9923 1.80851 135.64278207 1.42125101 1.658202796691319 14.371583676518968 0.9800697476678835 2016 uid://A001/X8a6/X4f 2016.1.00329.S 12J090234.3+012518 0 0 0 0
587727943492698312 0.176348 10.8916 2.02607 139.98750923 1.64767043 2.2038812358307633 19.985671751970987 2.832841392394847 2012 uid://A002/X75fbd6/X89 2012.1.01080.S HATLASJ091956.9+013852 0 0 0 0
587727943492894870 0.071088 10.3242 2.812 140.37968856 1.57524396 2.4141550732797064 22.757349327411298 1.9547362578923497 2013 uid://A001/X147/X2d2 2013.1.00058.S HATLAS_J092131.0+013432 0 0 0 0
587727944027996390 0.051884 10.6183 3.24673 136.38581099 2.03944576 2.3567769362636795 23.674564927226427 2.7395539952623387 2013 uid://A001/X147/X2e1 2013.1.00530.S HOT2_EI_CII_G09.v2.58 0 0 0 0
587727944034091092 0.121664 10.9472 2.53404 150.31973925 2.28672849 1.7655838437406706 24.50341909297535 1.1761591562596307 2018 uid://A001/X133d/X4226 2018.1.01852.S COSMOS-0969208 0 0 0 0
587727944034091201 0.122951 10.6675 2.44488 150.33559079 2.30491993 1.7677475221278491 24.615044595055465 1.1761591836314396 2018 uid://A001/X133d/X4226 2018.1.01852.S COSMOS-1197519 0 0 0 0
587727944562573646 0.078636 10.8087 2.92568 131.11847436 2.11645724 2.4725681822898697 25.229028188912356 2.323048288620827 2013 uid://A001/X147/X2e5 2013.1.00530.S HOT2_EI_CII_G09.v2.77 0 0 0 0
587727944563687568 0.058314 11.0363 3.85197 133.70923962 2.20232633 2.4817803985484246 26.140191822917824 2.5138083512194442 2013 uid://A001/X147/X2e5 2013.1.00530.S HOT2_EI_CII_G09.v2.38 0 0 0 0
587728879256207619 0.096023 10.7525 3.98211 130.57449749 2.20645141 2.512368341358492 24.301797370013357 2.4366572343510606 2013 uid://A001/X147/X2e9 2013.1.00530.S HOT2_EI_CII_G09.v2.232 0 0 0 0
587729157892276433 0.048235 10.8847 6.748 193.78224635 4.0403584 2.5453482588690513 23.591010708584804 1.4550865608208539 2021 uid://A001/X15a2/X761 2021.1.01089.S 653728 0 0 0 0
587729159502823552 0.048805 10.6831 3.83781 193.58751889 5.28264555 2.5642763287278956 23.830131627979114 1.4550861504511126 2021 uid://A001/X15a2/X761 2021.1.01089.S 12494 1 1 0 0
587729160054833498 0.175406 10.7769 3.60299 228.40534623 4.32253589 1.2081567971682494 16.261631510661157 0.58138376755979 2015 uid://A001/X2fe/X173 2015.1.00405.S AGC252580 0 0 0 0
587729774759313429 0.050129 10.4968 5.45806 214.02131611 -1.25968922 2.6653892674563853 26.972548047483134 1.4779093204958023 2021 uid://A001/X15a2/X746 2021.1.01089.S 263667 0 0 0 0
587729776370122970 0.047109 10.9321 3.37631 213.58040781 -3.1865306 2.649220079769733 26.80578661275722 1.4779086207068686 2021 uid://A001/X15a2/X746 2021.1.01089.S 456147 0 0 0 0
587729776370581627 0.044932 10.8842 5.94092 214.55597703 -3.12107588 2.6455962730224587 26.700992155508896 1.4779102842941692 2021 uid://A001/X15a2/X746 2021.1.01089.S 299299 1 0 0 0
